time_res,mem_res,num_th,exa_th,time,batch_size
2,100000,190.02712676815085,2113.271343406593,36.915,3
3,100000,285.0406901522263,2113.271343406593,37.217,3
4,100000,380.0542535363017,2113.271343406593,37.299,3
5,100000,475.06781692037714,2113.271343406593,37.126,3
6,100000,570.0813803044526,2113.271343406593,36.91,3
7,100000,665.0949436885279,2113.271343406593,37.017,3
8,100000,760.1085070726034,2113.271343406593,37.537,3
9,100000,855.1220704566789,2113.271343406593,37.313,3
10,100000,950.1356338407543,2113.271343406593,37.274,3
11,100000,1045.1491972248298,2113.271343406593,37.148,3
12,100000,1140.1627606089053,2113.271343406593,36.662,3
13,100000,1235.1763239929805,2113.271343406593,37.02,3
14,100000,1330.1898873770558,2113.271343406593,37.372,3
15,100000,1425.2034507611315,2113.271343406593,37.317,3
16,100000,1520.2170141452068,2113.271343406593,36.942,3
18,100000,1710.2441409133578,2352.3876727828747,40.231,3
20,100000,1900.2712676815086,2352.3876727828747,40.12,3
22,100000,1393.5322629664397,2113.271343406593,37.72,3
24,100000,1520.2170141452068,2242.655303206997,37.694,3
26,100000,1646.901765323974,2242.655303206997,37.699,3
28,100000,1773.586516502741,2242.655303206997,37.138,3
30,100000,1900.2712676815086,2242.655303206997,42.498,3
32,100000,1520.2170141452068,2113.271343406593,37.948,3
36,100000,1710.2441409133578,2113.271343406593,37.838,3
40,100000,1900.2712676815086,2352.3876727828747,40.013,3
44,100000,1672.2387155597278,2113.271343406593,51.378,3
48,100000,1824.2604169742483,2242.655303206997,43.341,3
52,100000,1976.2821183887686,2352.3876727828747,54.008,3
56,100000,2128.3038198032896,2352.3876727828747,53.937,3
60,100000,2280.3255212178105,2352.3876727828747,48.109,3
64,100000,1737.3908733088078,2113.271343406593,53.021,3
72,100000,1954.5647324724089,2242.655303206997,53.185,3
80,100000,2171.7385916360095,2352.3876727828747,53.082,3
88,100000,2090.2983944496596,2352.3876727828747,49.716,3
96,100000,2026.9560188602761,2242.655303206997,52.86,3
104,100000,2195.8690204319655,2352.3876727828747,53.68,3
112,100000,2128.3038198032896,2242.655303206997,53.479,3
120,100000,2280.3255212178105,2352.3876727828747,57.192,3
128,100000,2026.9560188602761,2242.655303206997,56.854,3
144,100000,2280.3255212178105,2352.3876727828747,54.191,3
160,100000,2171.7385916360095,2352.3876727828747,48.5,3
176,100000,2229.6516207463033,2352.3876727828747,57.019,3
192,100000,2146.188725852057,2352.3876727828747,57.006,3
208,100000,2325.037786339728,2352.3876727828747,53.457,3
224,100000,2240.319810319252,2352.3876727828747,56.739,3
240,100000,2280.3255212178105,2352.3876727828747,52.586,3
256,100000,2211.224747847574,2242.655303206997,49.536,3
260,100000,2245.775134532692,2352.3876727828747,52.884,3
264,100000,2280.3255212178105,2352.3876727828747,52.826,3
268,100000,2314.8759079029287,2352.3876727828747,52.355,3
272,100000,2247.277325258132,2352.3876727828747,53.229,3
276,100000,2185.3119578337346,2352.3876727828747,53.792,3
280,100000,2216.983145628427,2352.3876727828747,54.487,3
284,100000,2248.6543334231183,2352.3876727828747,54.017,3
288,100000,2280.3255212178105,2352.3876727828747,53.777,3
292,100000,2311.9967090125024,2352.3876727828747,53.418,3
296,100000,2249.9211809349063,2352.3876727828747,53.506,3
300,100000,2280.3255212178105,2352.3876727828747,53.853,3
304,100000,2310.7298615007144,2352.3876727828747,54.072,3
308,100000,2251.0905786380945,2352.3876727828747,53.757,3
312,100000,2280.32552121781,2352.3876727828747,53.464,3
316,100000,2224.0211873605804,2352.3876727828747,54.058,3
320,100000,2252.1733542891952,2352.3876727828747,53.883,3
324,100000,2280.3255212178105,2352.3876727828747,53.919,3
328,100000,2308.477688146425,2352.3876727828747,53.876,3
332,100000,2336.62985507504,2352.3876727828747,52.25,3
336,100000,2201.6936066930584,2242.655303206997,48.729,3
340,100000,2227.9042448679756,2352.3876727828747,53.024,3
344,100000,2254.114883042893,2352.3876727828747,52.89,3
348,100000,2280.3255212178105,2352.3876727828747,52.602,3
352,100000,2306.5361593927278,2352.3876727828747,53.705,3
356,100000,2254.9885709820564,2352.3876727828747,54.13,3
360,100000,2280.32552121781,2352.3876727828747,54.395,3
364,100000,2305.6624714535637,2352.3876727828747,54.031,3
368,100000,2255.8058919574037,2352.3876727828747,53.944,3
372,100000,2280.3255212178105,2352.3876727828747,53.835,3
376,100000,2232.8187395257723,2352.3876727828747,54.04,3
380,100000,2256.5721303717914,2352.3876727828747,54.093,3
384,100000,2280.3255212178105,2352.3876727828747,54.154,3
388,100000,2304.078912063829,2352.3876727828747,53.934,3
392,100000,2327.832302909848,2352.3876727828747,53.389,3
396,100000,2280.3255212178105,2352.3876727828747,54.112,3
400,100000,2235.6132560958927,2352.3876727828747,53.757,3
404,100000,2257.969388656851,2352.3876727828747,53.702,3
408,100000,2280.3255212178105,2352.3876727828747,53.571,3
412,100000,2302.6816537787695,2352.3876727828747,53.086,3
416,100000,2325.037786339728,2352.3876727828747,53.641,3
420,100000,2280.3255212178105,2352.3876727828747,53.698,3
