time_mult,mem_div,n_through,e_through,time,batch_size
128,100,128.0,None,1.168,1
128,10000,128.0,None,1.155,1
256,100,256.0,None,1.172,1
256,10000,256.0,None,1.104,1
512,100,512.0,None,1.129,1
512,10000,512.0,None,1.118,1
1024,100,1024.0,None,1.119,1
1024,10000,1024.0,None,1.107,1
2048,100,1024.0,None,1.144,1
2048,10000,1024.0,None,1.083,1
4096,100,1024.0,None,1.172,1
4096,10000,1024.0,None,1.105,1
8192,100,1170.2857142857142,None,1.133,1
8192,10000,1170.2857142857142,None,1.12,1
16384,100,1170.2857142857142,None,1.176,1
16384,10000,1170.2857142857142,None,1.168,1
32768,100,1170.2857142857142,None,1.14,1
32768,10000,1170.2857142857142,None,1.148,1
65536,100,1191.5636363636363,None,1.137,1
65536,10000,1191.5636363636363,None,1.137,1
131072,100,1191.5636363636363,None,1.163,1
131072,10000,1191.5636363636363,None,1.108,1
262144,100,1197.0045662100456,None,1.138,1
262144,10000,1197.0045662100456,None,1.154,1
524288,100,1199.7437070938215,None,1.156,1
524288,10000,1199.7437070938215,None,1.135,1
1048576,100,1201.1179839633448,None,1.115,1
1048576,10000,1201.1179839633448,None,1.183,1
2097152,100,1201.8063037249283,None,1.201,1
2097152,10000,1201.8063037249283,None,1.134,1
4194304,100,1201.8063037249283,None,1.127,1
4194304,10000,1201.8063037249283,None,1.146,1
8388608,100,1201.8063037249283,None,1.13,1
8388608,10000,1201.8063037249283,None,1.148,1
