time_mult,mem_div,n_through,e_through,time,batch_size
1915,1000,383.0,None,1.011,1
1926,1000,385.2,None,1.017,1
1945,1000,389.0,None,0.993,1
1950,1000,390.0,None,1.034,1
1986,1000,397.2,None,0.974,1
1992,1000,398.4,None,0.994,1
2019,1000,403.8,None,0.996,1
2025,1000,405.0,None,0.971,1
2034,1000,406.8,None,0.977,1
2048,1000,409.6,None,1.014,1
2048,1000,409.6,None,1.011,1
2115,1000,423.0,None,0.962,1
2119,1000,423.8,None,0.952,1
2153,1000,430.6,None,1.051,1
2227,1000,445.4,None,0.99,1
2234,1000,446.8,None,0.951,1
2263,1000,452.6,None,1.09,1
2346,1000,469.2,None,0.965,1
2420,1000,403.3333333333333,None,1.039,1
2454,1000,409.0,None,1.016,1
2495,1000,415.8333333333333,None,0.995,1
2554,1000,425.6666666666667,None,1.003,1
2622,1000,437.0,None,0.999,1
2633,1000,438.8333333333333,None,0.961,1
2661,1000,443.5,None,0.984,1
2685,1000,447.5,None,0.973,1
2691,1000,448.5,None,1.015,1
2697,1000,449.5,None,0.946,1
2744,1000,457.3333333333333,None,0.966,1
2745,1000,457.5,None,1.013,1
2757,1000,459.5,None,1.018,1
2829,1000,471.5,None,0.976,1
2945,1000,490.8333333333333,None,0.992,1
2995,1000,499.1666666666667,None,0.979,1
3006,1000,501.0,None,1.004,1
3036,1000,506.0,None,1.036,1
3056,1000,509.3333333333333,None,0.985,1
3115,1000,519.1666666666666,None,0.997,1
3117,1000,519.5,None,0.963,1
3121,1000,520.1666666666666,None,0.973,1
3176,1000,453.7142857142857,None,1.004,1
3234,1000,462.0,None,1.021,1
3247,1000,463.85714285714283,None,0.979,1
3253,1000,464.7142857142857,None,0.989,1
3258,1000,465.42857142857144,None,1.013,1
3273,1000,467.57142857142856,None,1.013,1
3275,1000,467.85714285714283,None,0.999,1
3318,1000,474.0,None,0.977,1
3330,1000,475.7142857142857,None,0.969,1
3362,1000,480.2857142857143,None,0.991,1
3384,1000,483.42857142857144,None,0.971,1
3402,1000,486.0,None,0.951,1
