time_mult,mem_div,n_through,e_through,time,batch_size
1904,1000,380.8,None,1.344,1
1920,1000,384.0,None,1.307,1
1936,1000,387.2,None,1.322,1
1952,1000,390.4,None,1.329,1
1968,1000,393.6,None,1.45,1
1984,1000,396.8,None,1.362,1
2000,1000,400.0,None,1.359,1
2016,1000,403.2,None,1.363,1
2032,1000,406.4,None,1.336,1
2048,1000,409.6,None,1.369,1
2080,1000,416.0,None,1.378,1
2112,1000,422.4,None,1.336,1
2144,1000,428.8,None,1.295,1
2176,1000,435.2,None,1.424,1
2208,1000,441.6,None,1.34,1
2240,1000,448.0,None,1.383,1
2272,1000,454.4,None,1.29,1
2304,1000,460.8,None,1.334,1
2336,1000,467.2,None,1.353,1
2368,1000,473.6,None,1.356,1
2400,1000,480.0,None,1.361,1
2432,1000,405.3333333333333,None,1.279,1
2464,1000,410.6666666666667,None,1.276,1
2496,1000,416.0,None,1.352,1
2528,1000,421.3333333333333,None,1.377,1
2560,1000,426.6666666666667,None,1.341,1
2592,1000,432.0,None,1.337,1
2624,1000,437.3333333333333,None,1.268,1
2656,1000,442.6666666666667,None,1.386,1
2688,1000,448.0,None,1.358,1
2720,1000,453.3333333333333,None,1.297,1
2752,1000,458.6666666666667,None,1.319,1
2784,1000,464.0,None,1.285,1
2816,1000,469.3333333333333,None,1.298,1
2848,1000,474.6666666666667,None,1.35,1
2880,1000,480.0,None,1.374,1
2912,1000,485.3333333333333,None,1.38,1
2944,1000,490.6666666666667,None,1.331,1
2976,1000,496.0,None,1.359,1
3008,1000,501.3333333333333,None,1.377,1
3040,1000,506.6666666666667,None,1.401,1
3072,1000,512.0,None,1.244,1
3104,1000,517.3333333333334,None,1.324,1
3136,1000,448.0,None,1.407,1
3168,1000,452.57142857142856,None,1.367,1
3200,1000,457.14285714285717,None,1.385,1
3232,1000,461.7142857142857,None,1.335,1
3264,1000,466.2857142857143,None,1.317,1
3296,1000,470.85714285714283,None,1.315,1
3328,1000,475.42857142857144,None,1.284,1
3360,1000,480.0,None,1.325,1
