time_res,mem_res,num_th,exa_th,time,batch_size
2,100000,190.02712676815085,2113.271343406593,31.5305,10
4,100000,380.0542535363017,2113.271343406593,31.44,10
8,100000,760.1085070726034,2113.271343406593,31.735,10
16,100000,1520.2170141452068,2113.271343406593,31.585,10
32,100000,1520.2170141452068,2113.271343406593,31.6515,10
64,100000,1737.3908733088078,2113.271343406593,45.799499999999995,10
128,100000,2026.9560188602761,2242.655303206997,49.93300000000001,10
256,100000,2211.224747847574,2242.655303206997,40.6255,10
512,100000,2316.521164411744,2352.3876727828747,45.343500000000006,10
1024,100000,2316.521164411744,2352.3876727828747,50.4845,10
2048,100000,2330.392548629778,2352.3876727828747,49.7565,10
4096,100000,2344.431057958873,2352.3876727828747,51.784,10
8192,100000,2347.9671530689166,2352.3876727828747,50.905,10
16384,100000,2349.7392037504783,2352.3876727828747,51.173,10
32768,100000,2351.5139312457577,2352.3876727828747,51.397,10
65536,100000,2351.9580320826317,2352.3876727828747,51.8735,10
131072,100000,2352.1801454108104,2352.3876727828747,52.2195,10
262144,100000,2352.2912178075335,2352.3876727828747,51.61,10
524288,100000,2352.346757939704,2352.3876727828747,50.814499999999995,10
1048576,100000,2352.3745289893222,2352.3876727828747,50.492000000000004,10
2097152,100000,2352.3745289893222,2352.3876727828747,50.076499999999996,10
4194304,100000,2352.381471854182,2352.3876727828747,50.623000000000005,10
8388608,100000,2352.384943301981,2352.3876727828747,50.7795,10
16777216,100000,2352.384943301981,2352.3876727828747,51.4495,10
33554432,100000,2352.386679029722,2352.3876727828747,53.309,10
67108864,100000,2352.387112962058,2352.3876727828747,52.8935,10
134217728,100000,2352.387329928286,2352.3876727828747,52.838,10
268435456,100000,2352.3875468945535,2352.3876727828747,56.04,10
536870912,100000,2352.3876011361267,2352.3876727828747,60.1745,10
1073741824,100000,2352.3876553777027,2352.3876727828747,72.5745,10
