time_mult,mem_div,n_through,e_through,time,batch_size
128,10000,16.0,None,2.474,1
256,10000,32.0,None,2.465,1
512,10000,56.888888888888886,None,2.303,1
1024,10000,68.26666666666667,None,2.279,1
2048,10000,120.47058823529412,None,2.444,1
4096,10000,124.12121212121212,None,2.443,1
8192,10000,138.84745762711864,None,2.668,1
16384,10000,147.6036036036036,None,2.692,1
32768,10000,156.03809523809525,None,2.782,1
65536,10000,160.62745098039215,None,2.757,1
131072,10000,162.21782178217822,None,2.726,1
262144,10000,163.02487562189054,None,2.687,1
524288,10000,163.3804923652228,None,2.849,1
1048576,10000,163.55888316955233,None,2.665,1
2097152,10000,163.712099921936,None,2.623,1
4194304,10000,163.75684222855583,None,2.763,1
8388608,10000,163.7792225541303,None,1.362,1
