time_res,mem_res,num_th,exa_th,time,batch_size
8,100000,1717.9882833884315,2403.846153125,20.821,3
9,100000,1932.7368188119854,2403.846153125,21.035,3
10,100000,2147.485354235539,2403.846153125,20.998,3
11,100000,2362.233889659093,2403.846153125,20.917,3
12,100000,1717.9882833884315,2403.846153125,21.247,3
13,100000,1861.1539736708005,2403.846153125,21.367,3
14,100000,2004.3196639531702,2403.846153125,21.411,3
15,100000,2147.4853542355395,2403.846153125,21.324,3
16,100000,2290.6510445179083,2403.846153125,21.182,3
18,100000,1932.7368188119854,2403.846153125,21.406,3
20,100000,2147.485354235539,2403.846153125,21.335,3
22,100000,2362.233889659093,2403.846153125,21.203,3
24,100000,2061.5859400661175,2403.846153125,24.623,3
26,100000,2233.3847684049606,2403.846153125,24.669,3
28,100000,2004.3196639531702,2403.846153125,22.209,3
30,100000,2147.4853542355395,2403.846153125,24.475,3
32,100000,2290.6510445179083,2403.846153125,23.466,3
36,100000,2208.842078642269,2403.846153125,21.418,3
40,100000,2147.485354235539,2403.846153125,21.39,3
44,100000,2362.233889659093,2403.846153125,21.411,3
48,100000,2290.6510445179083,2403.846153125,23.469,3
52,100000,2233.3847684049606,2403.846153125,21.47,3
56,100000,2186.5305424943676,2403.846153125,21.685,3
60,100000,2342.7112955296793,2403.846153125,21.417,3
64,100000,2290.6510445179083,2403.846153125,21.063,3
72,100000,2378.7530077685974,2403.846153125,21.305,3
80,100000,2290.6510445179083,2403.846153125,21.229,3
88,100000,2362.233889659093,2403.846153125,21.09,3
96,100000,2290.6510445179083,2403.846153125,20.845,3
104,100000,2350.9313351631163,2403.846153125,21.151,3
112,100000,2290.6510445179088,2403.846153125,21.132,3
120,100000,2342.7112955296793,2403.846153125,20.886,3
128,100000,2390.2445681926,2403.846153125,20.803,3
144,100000,2378.7530077685974,2403.846153125,20.882,3
160,100000,2369.63901157025,2403.846153125,20.84,3
176,100000,2362.233889659093,2403.846153125,20.77,3
192,100000,2356.09821721842,2403.846153125,21.471,3
208,100000,2350.9313351631163,2403.846153125,21.507,3
224,100000,2346.5205821890772,2403.846153125,21.526,3
240,100000,2397.192953565253,2403.846153125,21.279,3
256,100000,2390.2445681926,2403.846153125,21.451,3
260,100000,2375.9412429840004,2403.846153125,21.47,3
264,100000,2362.2338896590936,2403.846153125,21.575,3
268,100000,2398.0253122296854,2403.846153125,21.483,3
272,100000,2384.1470055186396,2403.846153125,21.999,3
276,100000,2370.8238310760353,2403.846153125,22.129,3
280,100000,2358.023134062553,2403.846153125,22.01,3
284,100000,2391.7091788348753,2403.846153125,21.937,3
288,100000,2378.7530077685974,2403.846153125,21.953,3
292,100000,2366.285748818028,2403.846153125,21.864,3
296,100000,2398.700622089508,2403.846153125,21.971,3
300,100000,2386.0948380394884,2403.846153125,21.924,3
304,100000,2373.9474461367417,2403.846153125,21.449,3
308,100000,2362.233889659093,2403.846153125,21.843,3
312,100000,2392.912251862458,2403.846153125,21.769,3
316,100000,2381.0714804857207,2403.846153125,21.625,3
320,100000,2369.63901157025,2403.846153125,21.758,3
324,100000,2399.2594992148784,2403.846153125,21.795,3
328,100000,2387.712529455108,2403.846153125,21.666,3
332,100000,2376.55045868733,2403.846153125,21.661,3
336,100000,2365.754357452922,2403.846153125,21.684,3
340,100000,2393.9180998035517,2403.846153125,21.778,3
344,100000,2383.016005990405,2403.846153125,21.775,3
348,100000,2372.460010393548,2403.846153125,21.569,3
352,100000,2399.729665685428,2403.846153125,21.602,3
356,100000,2389.0774565870374,2403.846153125,22.111,3
360,100000,2378.7530077685974,2403.846153125,21.929,3
364,100000,2368.7414210355646,2403.846153125,21.825,3
368,100000,2394.77154654145,2403.846153125,21.885,3
372,100000,2384.6703038078226,2403.846153125,21.796,3
376,100000,2374.8661564487143,2403.846153125,21.791,3
380,100000,2400.130690027956,2403.846153125,21.792,3
384,100000,2390.2445681926,2403.846153125,21.72,3
388,100000,2380.640906981112,2403.846153125,22.081,3
392,100000,2371.3077714375536,2403.846153125,22.066,3
396,100000,2395.5047895134467,2403.846153125,21.78,3
400,100000,2386.0948380394884,2403.846153125,21.643,3
404,100000,2376.9426934552266,2403.846153125,21.842,3
408,100000,2400.4767795290413,2403.846153125,22.04,3
412,100000,2391.2539620136276,2403.846153125,21.725,3
416,100000,2382.277086298625,2403.846153125,21.743,3
420,100000,2373.53644415507,2403.846153125,21.543,3
424,100000,2396.141553147023,2403.846153125,21.738,3
428,100000,2387.334367825483,2403.846153125,21.567,3
432,100000,2378.7530077685974,2403.846153125,21.757,3
436,100000,2400.7784985812696,2403.846153125,21.678,3
440,100000,2392.1355844649042,2403.846153125,21.666,3
444,100000,2383.7087432014487,2403.846153125,21.653,3
448,100000,2375.489972092646,2403.846153125,21.624,3
452,100000,2396.6997039863304,2403.846153125,21.748,3
456,100000,2388.4227354424534,2403.846153125,21.803,3
460,100000,2380.3452119237304,2403.846153125,21.611,3
464,100000,2401.0438659404585,2403.846153125,21.391,3
468,100000,2392.912251862458,2403.846153125,21.512,3
472,100000,2384.9719698804106,2403.846153125,21.635,3
476,100000,2377.216345618876,2403.846153125,21.314,3
480,100000,2397.192953565253,2403.846153125,21.728,3
484,100000,2389.386003333336,2403.846153125,21.816,3
488,100000,2381.756483788507,2403.846153125,21.88,3
492,100000,2401.2790779179213,2403.846153125,21.757,3
496,100000,2393.6016532602866,2403.846153125,22.017,3
500,100000,2386.094838039488,2403.846153125,22.181,3
504,100000,2378.7530077685974,2403.846153125,22.142,3
508,100000,2397.6319998937447,2403.846153125,22.023,3
512,100000,2390.2445681926,2403.846153125,21.585,3
520,100000,2401.488998284904,2403.846153125,21.781,3
528,100000,2387.0995095502417,2403.846153125,21.611,3
536,100000,2398.0253122296854,2403.846153125,21.479,3
544,100000,2384.1470055186396,2403.846153125,21.379,3
552,100000,2394.77154654145,2403.846153125,21.502,3
560,100000,2381.369897766143,2403.846153125,21.405,3
568,100000,2391.7091788348753,2403.846153125,21.474,3
576,100000,2401.847697164409,2403.846153125,21.231,3
584,100000,2388.821803568676,2403.846153125,21.558,3
592,100000,2398.700622089508,2403.846153125,21.626,3
600,100000,2386.0948380394884,2403.846153125,21.4,3
608,100000,2395.7267805049687,2403.846153125,21.433,3
616,100000,2383.5152760524184,2403.846153125,21.582,3
624,100000,2392.912251862458,2403.846153125,21.527,3
632,100000,2402.1429095165677,2403.846153125,21.453,3
640,100000,2390.2445681926,2403.846153125,21.546,3
648,100000,2399.2594992148784,2403.846153125,21.51,3
656,100000,2387.712529455108,2403.846153125,21.585,3
664,100000,2396.5214709452066,2403.846153125,21.359,3
672,100000,2385.3060463574916,2403.846153125,21.559,3
680,100000,2393.9180998035517,2403.846153125,21.716,3
688,100000,2402.3901198602457,2403.846153125,21.682,3
696,100000,2391.4396904766963,2403.846153125,21.557,3
704,100000,2399.729665685428,2403.846153125,22.089,3
712,100000,2389.0774565870374,2403.846153125,21.987,3
720,100000,2397.192953565253,2403.846153125,22.079,3
728,100000,2386.8234166159887,2403.846153125,21.881,3
736,100000,2394.77154654145,2403.846153125,21.589,3
744,100000,2402.600155716152,2403.846153125,21.833,3
752,100000,2392.4577576075935,2403.846153125,21.868,3
760,100000,2400.130690027956,2403.846153125,21.645,3
768,100000,2390.2445681926,2403.846153125,21.429,3
776,100000,2397.767819980976,2403.846153125,21.459,3
784,100000,2388.1255570505855,2403.846153125,21.42,3
792,100000,2395.5047895134467,2403.846153125,21.501,3
800,100000,2402.780815927876,2403.846153125,21.494,3
808,100000,2393.3354016859525,2403.846153125,21.579,3
816,100000,2400.4767795290413,2403.846153125,21.457,3
824,100000,2391.2539620136276,2403.846153125,21.44,3
832,100000,2398.265523119421,2403.846153125,21.404,3
840,100000,2389.255228553448,2403.846153125,21.636,3
848,100000,2396.141553147023,2403.846153125,21.472,3
856,100000,2402.937860425649,2403.846153125,21.449,3
864,100000,2394.0998013671046,2403.846153125,21.759,3
872,100000,2400.7784985812696,2403.846153125,21.994,3
880,100000,2392.1355844649042,2403.846153125,21.896,3
888,100000,2398.700622089508,2403.846153125,21.829,3
896,100000,2390.2445681926006,2403.846153125,21.249,3
904,100000,2396.6997039863304,2403.846153125,21.389,3
912,100000,2403.0756356598918,2403.846153125,21.502,3
920,100000,2394.77154654145,2403.846153125,21.375,3
928,100000,2401.0438659404585,2403.846153125,21.36,3
936,100000,2392.912251862458,2403.846153125,21.586,3
944,100000,2399.084230057218,2403.846153125,21.654,3
952,100000,2391.118195593255,2403.846153125,21.383,3
960,100000,2397.192953565253,2403.846153125,21.695,3
968,100000,2403.1974831213897,2403.846153125,21.619,3
976,100000,2395.3665208387274,2403.846153125,21.627,3
984,100000,2401.2790779179213,2403.846153125,21.308,3
