time_res,mem_res,num_th,exa_th,time,batch_size
2,100000,429.49707084710786,1937.6089899244334,15.56,10
4,100000,858.9941416942157,1937.6089899244334,15.652999999999999,10
8,100000,1717.9882833884315,2403.846153125,18.309,10
16,100000,2290.6510445179083,2403.846153125,18.441000000000003,10
32,100000,2290.6510445179083,2403.846153125,21.72,10
64,100000,2290.6510445179083,2403.846153125,19.0385,10
128,100000,2390.2445681926,2403.846153125,18.668,10
256,100000,2390.2445681926,2403.846153125,18.488500000000002,10
512,100000,2390.2445681926,2403.846153125,18.4705,10
1024,100000,2403.3060139204285,2403.846153125,18.4465,10
2048,100000,2403.3060139204285,2403.846153125,18.496499999999997,10
4096,100000,2403.3060139204285,2403.846153125,18.446,10
8192,100000,2403.3060139204285,2403.846153125,18.512999999999998,10
16384,100000,2403.3060139204285,2403.846153125,18.493000000000002,10
32768,100000,2403.716484631602,2403.846153125,18.5455,10
65536,100000,2403.716484631602,2403.846153125,18.43,10
131072,100000,2403.8191242184603,2403.846153125,18.4355,10
262144,100000,2403.8191242184603,2403.846153125,18.5275,10
524288,100000,2403.844785484798,2403.846153125,18.604,10
1048576,100000,2403.844785484798,2403.846153125,18.5395,10
2097152,100000,2403.844785484798,2403.846153125,18.528,10
4194304,100000,2403.844785484798,2403.846153125,18.5635,10
8388608,100000,2403.844785484798,2403.846153125,18.5625,10
16777216,100000,2403.8455874081997,2403.846153125,18.7065,10
33554432,100000,2403.8459883701007,2403.846153125,18.79,10
67108864,100000,2403.8459883701007,2403.846153125,19.3765,10
134217728,100000,2403.8460886105972,2403.846153125,20.528,10
268435456,100000,2403.8461387308485,2403.846153125,22.803,10
536870912,100000,2403.8461387308485,2403.846153125,27.7495,10
1073741824,100000,2403.8461512609115,2403.846153125,37.605000000000004,10
