time_mult,mem_div,n_through,e_through,time,batch_size
256,1000,256.0,None,1.062,1
256,1000,256.0,None,1.052,1
259,1000,259.0,None,1.077,1
261,1000,261.0,None,1.059,1
263,1000,263.0,None,1.084,1
272,1000,272.0,None,1.072,1
274,1000,274.0,None,1.078,1
275,1000,275.0,None,1.108,1
280,1000,280.0,None,1.13,1
281,1000,281.0,None,1.08,1
284,1000,284.0,None,1.154,1
289,1000,289.0,None,1.113,1
293,1000,293.0,None,1.124,1
296,1000,296.0,None,1.092,1
301,1000,301.0,None,1.097,1
302,1000,302.0,None,1.116,1
313,1000,313.0,None,1.122,1
314,1000,314.0,None,1.113,1
324,1000,324.0,None,1.106,1
325,1000,325.0,None,1.108,1
326,1000,326.0,None,1.122,1
328,1000,328.0,None,1.139,1
329,1000,329.0,None,1.128,1
336,1000,336.0,None,1.106,1
363,1000,363.0,None,1.098,1
368,1000,368.0,None,1.118,1
369,1000,369.0,None,1.105,1
377,1000,377.0,None,1.11,1
383,1000,383.0,None,1.094,1
385,1000,385.0,None,1.118,1
388,1000,388.0,None,1.099,1
389,1000,389.0,None,1.091,1
390,1000,390.0,None,1.096,1
392,1000,392.0,None,1.091,1
396,1000,396.0,None,1.081,1
399,1000,399.0,None,1.094,1
406,1000,406.0,None,1.133,1
417,1000,417.0,None,1.081,1
419,1000,419.0,None,1.114,1
422,1000,422.0,None,1.139,1
430,1000,430.0,None,1.113,1
433,1000,433.0,None,1.145,1
447,1000,447.0,None,1.184,1
448,1000,448.0,None,1.117,1
449,1000,449.0,None,1.15,1
452,1000,452.0,None,1.112,1
455,1000,455.0,None,1.128,1
456,1000,456.0,None,1.171,1
459,1000,459.0,None,1.111,1
461,1000,461.0,None,1.135,1
473,1000,473.0,None,1.111,1
474,1000,474.0,None,1.136,1
476,1000,476.0,None,1.158,1
478,1000,478.0,None,1.122,1
481,1000,481.0,None,1.141,1
482,1000,482.0,None,1.109,1
484,1000,484.0,None,1.159,1
492,1000,492.0,None,1.129,1
499,1000,499.0,None,1.142,1
502,1000,502.0,None,1.126,1
503,1000,503.0,None,1.1,1
505,1000,505.0,None,1.118,1
508,1000,508.0,None,1.121,1
511,1000,511.0,None,1.081,1
512,1000,512.0,None,1.133,1
517,1000,517.0,None,1.138,1
542,1000,542.0,None,1.103,1
544,1000,544.0,None,1.131,1
550,1000,550.0,None,1.09,1
557,1000,557.0,None,1.086,1
566,1000,566.0,None,1.116,1
568,1000,568.0,None,1.07,1
577,1000,577.0,None,1.087,1
582,1000,582.0,None,1.154,1
585,1000,585.0,None,1.093,1
588,1000,588.0,None,1.095,1
593,1000,593.0,None,1.086,1
600,1000,600.0,None,1.108,1
606,1000,606.0,None,1.146,1
625,1000,625.0,None,1.105,1
635,1000,635.0,None,1.126,1
636,1000,636.0,None,1.107,1
640,1000,640.0,None,1.088,1
648,1000,648.0,None,1.121,1
650,1000,650.0,None,1.147,1
675,1000,675.0,None,1.155,1
677,1000,677.0,None,1.143,1
692,1000,692.0,None,1.128,1
700,1000,700.0,None,1.165,1
702,1000,702.0,None,1.108,1
706,1000,706.0,None,1.137,1
713,1000,713.0,None,1.154,1
714,1000,714.0,None,1.12,1
716,1000,716.0,None,1.116,1
718,1000,718.0,None,1.105,1
734,1000,734.0,None,1.134,1
741,1000,741.0,None,1.163,1
743,1000,743.0,None,1.132,1
763,1000,763.0,None,1.096,1
767,1000,767.0,None,1.11,1
770,1000,770.0,None,1.091,1
777,1000,777.0,None,1.114,1
796,1000,796.0,None,1.061,1
804,1000,804.0,None,1.138,1
814,1000,814.0,None,1.165,1
828,1000,828.0,None,1.133,1
834,1000,834.0,None,1.175,1
843,1000,843.0,None,1.083,1
856,1000,856.0,None,1.107,1
876,1000,876.0,None,1.116,1
895,1000,895.0,None,1.125,1
896,1000,896.0,None,1.083,1
897,1000,897.0,None,1.147,1
923,1000,923.0,None,1.096,1
929,1000,929.0,None,1.141,1
930,1000,930.0,None,1.148,1
939,1000,939.0,None,1.174,1
954,1000,954.0,None,1.118,1
958,1000,958.0,None,1.17,1
977,1000,977.0,None,1.133,1
983,1000,983.0,None,1.115,1
986,1000,986.0,None,1.141,1
987,1000,987.0,None,1.135,1
991,1000,991.0,None,1.122,1
1002,1000,1002.0,None,1.085,1
1003,1000,1003.0,None,1.142,1
1016,1000,1016.0,None,1.112,1
1023,1000,1023.0,None,1.083,1
1024,1000,1024.0,None,1.169,1
1028,1000,1028.0,None,1.112,1
1030,1000,1030.0,None,1.098,1
1040,1000,1040.0,None,1.142,1
1070,1000,1070.0,None,1.123,1
1088,1000,1088.0,None,1.112,1
1150,1000,1150.0,None,1.183,1
1174,1000,1174.0,None,1.072,1
1180,1000,1180.0,None,1.155,1
1209,1000,604.5,None,1.088,1
1214,1000,607.0,None,1.129,1
1224,1000,612.0,None,1.157,1
1243,1000,621.5,None,1.092,1
1262,1000,631.0,None,1.076,1
1264,1000,632.0,None,1.131,1
1265,1000,632.5,None,1.134,1
1291,1000,645.5,None,1.074,1
1299,1000,649.5,None,1.144,1
1316,1000,658.0,None,1.095,1
1325,1000,662.5,None,1.1,1
1341,1000,670.5,None,1.098,1
1347,1000,673.5,None,1.104,1
1378,1000,689.0,None,1.09,1
1383,1000,691.5,None,1.07,1
1409,1000,704.5,None,1.122,1
1433,1000,716.5,None,1.133,1
1460,1000,730.0,None,1.099,1
1470,1000,735.0,None,1.112,1
1478,1000,739.0,None,1.153,1
1488,1000,744.0,None,1.102,1
1491,1000,745.5,None,1.097,1
1519,1000,759.5,None,1.149,1
1521,1000,760.5,None,1.106,1
1522,1000,761.0,None,1.095,1
1525,1000,762.5,None,1.099,1
1535,1000,767.5,None,1.097,1
1543,1000,771.5,None,1.083,1
1559,1000,779.5,None,1.101,1
1575,1000,787.5,None,1.107,1
1594,1000,797.0,None,1.108,1
1613,1000,806.5,None,1.091,1
1646,1000,823.0,None,1.127,1
1656,1000,828.0,None,1.088,1
1669,1000,834.5,None,1.156,1
1695,1000,847.5,None,1.079,1
1722,1000,861.0,None,1.092,1
1778,1000,889.0,None,1.123,1
1813,1000,906.5,None,1.12,1
1825,1000,912.5,None,1.079,1
1840,1000,920.0,None,1.105,1
1865,1000,932.5,None,1.135,1
1867,1000,933.5,None,1.107,1
1874,1000,937.0,None,1.154,1
1889,1000,944.5,None,1.132,1
1900,1000,950.0,None,1.085,1
1915,1000,957.5,None,1.149,1
1926,1000,963.0,None,1.114,1
1945,1000,972.5,None,1.143,1
1950,1000,975.0,None,1.117,1
1986,1000,993.0,None,1.114,1
1992,1000,996.0,None,1.141,1
2019,1000,1009.5,None,1.158,1
2025,1000,1012.5,None,1.063,1
2034,1000,1017.0,None,1.083,1
2048,1000,1024.0,None,1.122,1
2048,1000,1024.0,None,1.111,1
2115,1000,1057.5,None,1.074,1
2119,1000,1059.5,None,1.096,1
2153,1000,1076.5,None,1.053,1
2227,1000,1113.5,None,1.102,1
2234,1000,1117.0,None,1.086,1
2263,1000,1131.5,None,1.115,1
2346,1000,1173.0,None,1.13,1
2420,1000,806.6666666666666,None,1.135,1
2454,1000,818.0,None,1.157,1
2495,1000,831.6666666666666,None,1.114,1
2554,1000,851.3333333333334,None,1.159,1
2622,1000,874.0,None,1.094,1
2633,1000,877.6666666666666,None,1.101,1
2661,1000,887.0,None,1.175,1
2685,1000,895.0,None,1.121,1
2691,1000,897.0,None,1.135,1
2697,1000,899.0,None,1.164,1
2744,1000,914.6666666666666,None,1.09,1
2745,1000,915.0,None,1.152,1
2757,1000,919.0,None,1.109,1
2829,1000,943.0,None,1.144,1
2945,1000,981.6666666666666,None,1.139,1
2995,1000,998.3333333333334,None,1.121,1
3006,1000,1002.0,None,1.119,1
3036,1000,1012.0,None,1.127,1
3056,1000,1018.6666666666666,None,1.121,1
3115,1000,1038.3333333333333,None,1.188,1
3117,1000,1039.0,None,1.138,1
3121,1000,1040.3333333333333,None,1.162,1
3176,1000,1058.6666666666667,None,1.129,1
3234,1000,1078.0,None,1.091,1
3247,1000,1082.3333333333333,None,1.144,1
3253,1000,1084.3333333333333,None,1.11,1
3258,1000,1086.0,None,1.122,1
3273,1000,1091.0,None,1.118,1
3275,1000,1091.6666666666667,None,1.15,1
3318,1000,1106.0,None,1.129,1
3330,1000,1110.0,None,1.127,1
3362,1000,1120.6666666666667,None,1.14,1
3384,1000,1128.0,None,1.195,1
3402,1000,1134.0,None,1.104,1
3413,1000,1137.6666666666667,None,1.129,1
3418,1000,1139.3333333333333,None,1.086,1
3422,1000,1140.6666666666667,None,1.08,1
3437,1000,1145.6666666666667,None,1.114,1
3500,1000,1166.6666666666667,None,1.126,1
3518,1000,1172.6666666666667,None,1.181,1
3553,1000,1184.3333333333333,None,1.137,1
3611,1000,902.75,None,1.174,1
3625,1000,906.25,None,1.141,1
3721,1000,930.25,None,1.12,1
3809,1000,952.25,None,1.137,1
3868,1000,967.0,None,1.104,1
3876,1000,969.0,None,1.143,1
3911,1000,977.75,None,1.12,1
3947,1000,986.75,None,1.156,1
3957,1000,989.25,None,1.156,1
3992,1000,998.0,None,1.136,1
4003,1000,1000.75,None,1.112,1
